Accumulo,https://github.com/apache/accumulo/tree/47ac68d1a220a90bc80618f9684252b243df6b27
Apache-Maven-Dependency-Plugin,https://github.com/apache/maven-dependency-plugin/tree/e8c1a621f22f9d3b379217f7dec9596867b0a76f
Asset-Share-Commons,https://github.com/adobe/asset-share-commons/tree/bc5867d49a8d250e7618a0fe485671444816c56a
Bookkeeper,https://github.com/apache/bookkeeper/tree/f233320077991b4b50218598858f6d31a1914884
Cassandra,https://github.com/apache/cassandra/tree/6b134265620d6b39f9771d92edd29abdfd27de6a
Cayenne,https://github.com/apache/cayenne/tree/7e156078c7a11372d64f578cbc676638adf67db5
Cxf,https://github.com/apache/cxf/tree/6b27aec74e5329b60e84ff2478c854bf2acf3db5
DBeam,https://github.com/spotify/dbeam/tree/a8d3bc5146dfd7124d7199fb6c4b3aa72a5af416
dble,https://github.com/actiontech/dble/tree/e3a31b0114b3e2904729c96cb4070847d30af81b
etcd-java,https://github.com/IBM/etcd-java/tree/1fde9c00cb173e301bff60547608c6750f499e25
facebook-java-business-sdk,https://github.com/facebook/facebook-java-business-sdk/tree/be6bc7b70d35b5dba61476511d91d2c743309cbd
gctoolkit,https://github.com/microsoft/gctoolkit/tree/434269186db350b3972f91c5d10d320f01863445
Guice,https://github.com/google/guice/tree/b0e1d0fab0167cd555ab8d262333c1a32db7d492
Hive,https://github.com/apache/hive/tree/5160d3af392248255f68e41e1e0557eae4d95273
jcef,https://github.com/JetBrains/jcef/tree/a41411428423da9f5fda31fe008e13b516d6a988
jfnr,https://github.com/cisco/jfnr/tree/c9dbfee780943883199e7a7b3f338c60b7b3295b
Joda-Time,https://github.com/JodaOrg/joda-time/tree/290a451396637ed9ad52cce61e40382e8095d8fb
JSqlParser,https://github.com/discord/JSqlParser/commit/e47132ae5103adb91c760cee599806a181a11c89
kapua,https://github.com/eclipse/kapua/tree/56adf32e99ae60cfc617fd23be50a9d23594f326
Neptune-Export,https://github.com/aws/neptune-export/tree/632e0de04489c3c2d9de734466a203f9053e09a2
Wiket,https://github.com/apache/wicket/tree/48b1c3cd6e056b1b67edc1bd1020a3e0ef3c6d2a
Zookeeper,https://github.com/apache/zookeeper/tree/e454e8c7283100c7caec6dcae2bc82aaecb63023
